Frog,Morph,Color,Slide/section,Total area,Melanophores,%mel,Xanthophores,%xan,Glands,%glands,Epidermis,Data analyzed
PC25,striped,black,S9-2-2,310856,38152,12.27,0,0.00,17195,5.53,70175,7/20
PC25,striped,black,S9-2-3,258140,34171,13.24,0,0.00,17310,6.71,53632,7/20
PC25,striped,black,S9-3-1,395587,4905,1.24,0,0.00,41922,10.60,77246,7/20
PC25,striped,black,S8-3-1,227299,32693,14.38,0,0.00,7784,3.42,42872,7/20
PC25,striped,black,S8-3-2,291356,36215,12.43,0,0.00,23099,7.93,46210,7/20
PC25,striped,black,S9-1-1,357167,34624,9.69,0,0.00,20928,5.86,68553,7/20
PC25,striped,black ,S9-1-2,250824,32204,12.84,0,0.00,22848,9.11,50414,7/20
PC25,striped,black,S9-1-1,264356,34528,13.06,0,0.00,23990,9.07,51832,7/20
PC25,striped,black,S9-2-1,268504,27439,10.22,0,0.00,19140,7.13,52526,7/20
PC25,striped,black,S8-1-1,254726,38008,14.92,0,0.00,11229,4.41,50981,7/20
PC25,striped,black,S8-1-2,299242,35618,11.90,0,0.00,23143,7.73,47428,7/20
PC25,striped,black,S8-2-1,220504,32464,14.72,0,0.00,8791,3.99,46574,7/20
PC25,striped,black,S8-2-2,226919,30963,13.64,0,0.00,3756,1.66,44530,7/20
PC25,striped,black,S7-1-2,303305,35210,11.61,0,0.00,17546,5.78,39530,7/20
PC25,striped,black,S7-2-1,327715,41862,12.77,0,0.00,32042,9.78,49249,7/20
PC25,striped,black,S7-2-2,332947,41859,12.57,0,0.00,30579,9.18,49136,7/20
PC25,striped,black,S7-3-1,281680,34389,12.21,0,0.00,33396,11.86,40069,7/20
PC25,striped,black,S7-3-2,143165,21223,14.82,0,0.00,0,0.00,24984,7/20
PC25,striped,black,S6-1-2,348470,41925,12.03,0,0.00,14048,4.03,63807,7/20
PC25,striped,black,S6-2-1,414390,50463,12.18,0,0.00,59953,14.47,39288,7/20
PC25,striped,black,S6-2-2,312342,40886,13.09,0,0.00,11446,3.66,45486,7/20
PC25,striped,black,S6-3-1,315802,39087,12.38,0,0.00,8005,2.53,54603,7/20
PC25,striped,black,S6-3-2,335017,50752,15.15,0,0.00,8410,2.51,55925,7/20
PC25,striped,black,S7-1-1,249676,36350,14.56,0,0.00,18226,7.30,47361,7/20
PC25,striped,black,S5-1-1,330877,38330,11.58,0,0.00,13524,4.09,54966,7/20
PC25,striped,black,S5-1-2,277751,27961,10.07,0,0.00,12646,4.55,25974,7/20
PC25,striped,black,S5-2-1,333559,33830,10.14,0,0.00,23545,7.06,46092,7/20
PC25,striped,black,S5-2-2,433787,55706,12.84,0,0.00,31600,7.28,60223,7/20
PC25,striped,black,S5-3-1,331490,26726,8.06,0,0.00,27242,8.22,30016,7/20
PC25,striped,black,S4-3-2,432996,48983,11.31,0,0.00,24371,5.63,63648,7/20
PC25,striped,black,S3-3-2,513185,52688,10.27,0,0.00,33009,6.43,68950,7/20
PC25,striped,black,S5-3-2,395521,45531,11.51,0,0.00,16597,4.20,64394,7/20
PC25,striped,black,S6-1-1,375111,29409,7.84,0,0.00,58751,15.66,48132,7/20
PC25,striped,black,S4-2-1,382094,38879,10.18,0,0.00,36861,9.65,36411,7/20
PC25,striped,black,S4-2-2,413756,43930,10.62,0,0.00,26381,6.38,56111,7/20
PC25,striped,black,S4-3-1,371792,35984,9.68,0,0.00,35711,9.61,51350,7/20
PC25,striped,black,S4-1-1,442301,46575,10.53,0,0.00,48137,10.88,54121,7/20
PC25,striped,black,S4-1-2,463929,67195,14.48,0,0.00,28528,6.15,66447,7/20
PC25,striped,black,S3-1-2,518409,52883,10.20,0,0.00,29479,5.69,71593,7/20
PC25,striped,black,S3-2-1,424464,51877,12.22,0,0.00,53632,12.64,53003,7/20
PC25,striped,black,S3-2-2,499113,58281,11.68,0,0.00,25577,5.12,79927,7/20
PC25,striped,black,S3-3-1,451031,42917,9.52,0,0.00,44979,9.97,53417,7/20
